詞性,日文單字,平假名 (羅馬拼音),中文意思
名詞 (Nouns),御伽,おとぎ (otogi),童話
名詞 (Nouns),証,あかし (akashi),證明
名詞 (Nouns),旅路,たびじ (tabiji),旅途
名詞 (Nouns),一節,いっせつ (issetsu),一小節、一小部分
名詞 (Nouns),悪,あく (aku),邪惡、惡魔
名詞 (Nouns),勇者,ゆうしゃ (yuusha),勇者
名詞 (Nouns),記憶,きおく (kioku),記憶
名詞 (Nouns),日常,にちじょう (nichijou),日常
名詞 (Nouns),軌跡,きせき (kiseki),軌跡
名詞 (Nouns),理由,わけ (wake),理由 (歌詞中讀作wake)
名詞 (Nouns),お人好し,おひとよし (ohitoyoshi),濫好人、善良的人
名詞 (Nouns),平和,へいわ (heiwa),和平
名詞 (Nouns),目印,めじるし (mejirushi),記號、印記
名詞 (Nouns),出会い,であい (deai),相遇、邂逅
名詞 (Nouns),命,いのち (inochi),生命
動詞 (Verbs),迎える,むかえる (mukaeru),迎接
動詞 (Verbs),切り出す,きりだす (kiridasu),擷取、切割出
動詞 (Verbs),討ち取る,うちとる (uchitoru),討伐、擊敗
動詞 (Verbs),残す,のこす (nokosu),留下、存留
動詞 (Verbs),錆び付く,さびつく (sabitsuku),生鏽、隨時間風化
動詞 (Verbs),選ぶ,えらぶ (erabu),選擇
動詞 (Verbs),伝う,つたう (tsutau),沿著流下
動詞 (Verbs),辿る,たどる (tadoru),追溯、沿著走
動詞 (Verbs),発つ,たつ (tatsu),出發
動詞 (Verbs),立ち寄る,たちよる (tachiyoru),順道停留、經過
動詞 (Verbs),勝ち取る,かちとる (kachitoru),贏得
動詞 (Verbs),さらう,さらう (sarau),奪走、帶走
動詞 (Verbs),連れて行く,つれていく (tsurete iku),帶著走
動詞 (Verbs),振り返る,ふりかえる (furikaeru),回頭、回顧
動詞 (Verbs),守り抜く,まもりぬく (mamorinuku),守護到底
動詞 (Verbs),芽吹く,めぶく (mebuku),發芽、誕生
形容詞與副詞 (Adjectives & Adverbs),穏やかな,おだやかな (odayakana),安穩的
形容詞與副詞 (Adjectives & Adverbs),無情に,むじょうに (mujou ni),無情地
形容詞與副詞 (Adjectives & Adverbs),確かに,たしかに (tashika ni),確切地
形容詞與副詞 (Adjectives & Adverbs),新たな,あらたな (aratana),嶄新的
形容詞與副詞 (Adjectives & Adverbs),くだらない,くだらない (kudaranai),無聊的、枯燥乏味的
形容詞與副詞 (Adjectives & Adverbs),ありふれた,ありふれた (arifureta),平凡的、常見的
形容詞與副詞 (Adjectives & Adverbs),眩しい,まぶしい (mabushii),耀眼的
形容詞與副詞 (Adjectives & Adverbs),優しく,やさしく (yasashiku),溫柔地
慣用語與短句 (Phrases & Expressions),まるで,まるで (marude),彷彿、簡直就像
慣用語與短句 (Phrases & Expressions),眠りにつく,ねむりにつく (nemuri ni tsuku),陷入沉睡 (永眠)
慣用語與短句 (Phrases & Expressions),時の流れ,ときのながれ (toki no nagare),歲月流轉、時光流逝
慣用語與短句 (Phrases & Expressions),いつの間にか,いつのまにか (itsu no ma ni ka),不知不覺間
慣用語與短句 (Phrases & Expressions),今更だって,いまさらだって (imasara datte),事到如今
慣用語與短句 (Phrases & Expressions),相も変わらず,あいもかわらず (ai mo kawarazu),依然、不改（本性）
慣用語與短句 (Phrases & Expressions),格好つける,かっこうつける (kakkou tsukeru),耍帥、裝酷
慣用語與短句 (Phrases & Expressions),思わず,おもわず (omowazu),不禁、不由得
慣用語與短句 (Phrases & Expressions),微笑みかける,ほほえみかける (hohoemikakeru),對著（某人）微笑
