詞性,日文單字,平假名 (羅馬拼音),中文意思
名詞 (Nouns),日々,ひび (hibi),日子、每一天
名詞 (Nouns),夜,よる (yoru),夜晚
名詞 (Nouns),街,まち (machi),街道、城鎮
名詞 (Nouns),朝,あさ (asa),早上、早晨
名詞 (Nouns),気持ち,きもち (kimochi),心情、感受
名詞 (Nouns),声,こえ (koe),聲音、心聲
名詞 (Nouns),色,いろ (iro),顏色
名詞 (Nouns),空気,くうき (kuuki),空氣、氣氛
名詞 (Nouns),世界,せかい (sekai),世界
名詞 (Nouns),自分,じぶん (jibun),自己
名詞 (Nouns),涙,なみだ (namida),眼淚
名詞 (Nouns),道,みち (michi),道路
名詞 (Nouns),まぶた,まぶた (mabuta),眼皮
名詞 (Nouns),誓い,ちかい (chikai),誓言
名詞 (Nouns),不安,ふあん (fuan),不安、擔心
名詞 (Nouns),自信,じしん (jishin),自信
名詞 (Nouns),武器,ぶき (buki),武器
名詞 (Nouns),周り,まわり (mawari),周圍、四周
名詞 (Nouns),痛み,いたみ (itami),痛楚、痛苦
名詞 (Nouns),光,ひかり (hikari),光芒
動詞 (Verbs),過ぎる,すぎる (sugiru),流逝、過去
動詞 (Verbs),さんざめく,さんざめく (sanzameku),喧囂、吵雜
動詞 (Verbs),越える,こえる (koeru),跨越、越過
動詞 (Verbs),降る,ふる (furu),降臨、落下
動詞 (Verbs),隠す,かくす (kakusu),隱藏
動詞 (Verbs),響かせる,ひびかせる (hibikaseru),使其迴響、發出聲音
動詞 (Verbs),感じる,かんじる (kanjiru),感覺、感受
動詞 (Verbs),描く,えがく (egaku),描繪、畫
動詞 (Verbs),選ぶ,えらぶ (erabu),選擇
動詞 (Verbs),纏う,まとう (matou),穿著、瀰漫/披上
動詞 (Verbs),訪れる,おとずれる (otozureru),到訪、來臨
動詞 (Verbs),出会う,であう (deau),相遇、遇見
動詞 (Verbs),もがく,もがく (mogaku),掙扎
動詞 (Verbs),踏み込む,ふみこむ (fumikomu),踏入、深陷
動詞 (Verbs),進む,すすむ (susumu),前進
動詞 (Verbs),擦る,こする (kosuru),揉擦（眼睛）
動詞 (Verbs),しがみつく,しがみつく (shigamitsuku),緊緊抓住、依附
動詞 (Verbs),続ける,つづける (tsuzukeru),持續、繼續
動詞 (Verbs),積み上げる,つみあげる (tsumiageru),積累、堆疊
動詞 (Verbs),比べる,くらべる (kuraberu),比較
動詞 (Verbs),向き合う,むきあう (mukiau),面對面、正視
動詞 (Verbs),触れる,ふれる (fureru),碰觸、接觸
動詞 (Verbs),楽しむ,たのしむ (tanoshimu),享受
動詞 (Verbs),賭ける,かける (kakeru),賭上
形容詞與副詞 (Adjectives & Adverbs),虚しい,むなしい (munashii),空虛的
形容詞與副詞 (Adjectives & Adverbs),つまらない,つまらない (tsumaranai),無聊的、沒意思的
形容詞與副詞 (Adjectives & Adverbs),本当,ほんとう (hontou),真正的
形容詞與副詞 (Adjectives & Adverbs),確かに,たしかに (tashika ni),確實地
形容詞與副詞 (Adjectives & Adverbs),眠い,ねむい (nemui),困倦的、想睡的
形容詞與副詞 (Adjectives & Adverbs),青い,あおい (aoi),青色的、藍色的
形容詞與副詞 (Adjectives & Adverbs),怖い,こわい (kowai),害怕的、恐懼的
形容詞與副詞 (Adjectives & Adverbs),遠く,とおく (tooku),遙遠地
形容詞與副詞 (Adjectives & Adverbs),慌ただしく,あわただしく (awatadashiku),匆忙地、手忙腳亂地
形容詞與副詞 (Adjectives & Adverbs),悔しい,くやしい (kuyashii),不甘心的
形容詞與副詞 (Adjectives & Adverbs),情けない,なさけない (nasakenai),丟臉的、難為情的
形容詞與副詞 (Adjectives & Adverbs),苦しい,くるしい (kurushii),痛苦的、難受的
形容詞與副詞 (Adjectives & Adverbs),痛い,いたい (itai),痛的
形容詞與副詞 (Adjectives & Adverbs),重い,おもい (omoi),沉重的
形容詞與副詞 (Adjectives & Adverbs),楽しい,たのしい (tanoshii),快樂的、有趣的
形容詞與副詞 (Adjectives & Adverbs),首次,はじめて (hajimete),第一次、初次
形容詞與副詞 (Adjectives & Adverbs),小さな,chiisana (chiisana),微小的
形容詞與副詞 (Adjectives & Adverbs),透明な,とうめいな (toumeina),透明的
慣用語與短句 (Phrases & Expressions),いつもの様に,いつものように (itsumo no you ni),一如往常地
慣用語與短句 (Phrases & Expressions),あくびが出る,あくびがでる (akubi ga deru),打哈欠
慣用語與短句 (Phrases & Expressions),知らず知らず,しらずしらず (shirazu shirazu),不知不覺中
慣用語與短句 (Phrases & Expressions),見ないフリ,みないふり (minai furi),假裝沒看見
慣用語與短句 (Phrases & Expressions),仕方ない,しかたない (shikata nai),沒辦法、無可奈何 (這裡指極度/受不了)
慣用語與短句 (Phrases & Expressions),手を伸ばす,てをのばす (te wo nobasu),伸出手
慣用語與短句 (Phrases & Expressions),思うように,おもうように (omou you ni),如所想般（順利）
慣用語與短句 (Phrases & Expressions),涙が出る,なみだがでる (namida ga deru),流下眼淚
慣用語與短句 (Phrases & Expressions),ありのまま,ari no mama (ari no mama),保持原樣、原原本本
慣用語與短句 (Phrases & Expressions),かけがえの無い,かけがえのない (kakegae no nai),無可取代的
